time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-10-29 00:00:00+00:00,8,4,1.0,1.0
2021-10-30 00:00:00+00:00,9,5,,
2021-10-31 00:00:00+00:00,8,4,2.0,1.0
2021-11-01 00:00:00+00:00,8,4,1.0,1.0
2021-11-02 00:00:00+00:00,7,3,20.0,2.0
2021-11-03 00:00:00+00:00,7,3,1.0,1.0
2021-11-04 00:00:00+00:00,6,2,,
2021-11-05 00:00:00+00:00,10,6,1.0,1.0
2021-11-06 00:00:00+00:00,7,3,,
2021-11-07 00:00:00+00:00,7,3,,
2021-11-08 00:00:00+00:00,6,2,,
2021-11-09 00:00:00+00:00,6,2,1.0,1.0
2021-11-10 00:00:00+00:00,7,3,,
2021-11-11 00:00:00+00:00,1,1,1.0,1.0
