time_iso8601,clones_total,clones_unique,views_total,views_unique
2021-09-14 00:00:00+00:00,6,4,2.0,2.0
2021-09-15 00:00:00+00:00,7,5,,
2021-09-16 00:00:00+00:00,5,3,,
2021-09-17 00:00:00+00:00,8,6,,
2021-09-18 00:00:00+00:00,6,4,,
2021-09-19 00:00:00+00:00,6,4,,
2021-09-20 00:00:00+00:00,7,5,,
2021-09-21 00:00:00+00:00,7,5,,
2021-09-22 00:00:00+00:00,4,2,,
2021-09-23 00:00:00+00:00,30,7,,
2021-09-24 00:00:00+00:00,8,4,,
2021-09-25 00:00:00+00:00,7,3,,
2021-09-26 00:00:00+00:00,8,4,,
